x,y
824.499840,507.499776
860.499840,520.500288
906.000000,498.000448
909.500160,485.999808
918.499200,476.500480
940.500480,477.500352
940.500480,480.499968
922.500480,491.499648
885.999360,508.499648
870.000000,519.500416
868.500480,539.500032
892.500480,535.500544
908.499840,527.999872
898.999680,514.499968
880.500480,509.499520
846.000000,511.500352
820.999680,521.500160
780.000000,528.500352
752.000640,535.999936
736.999680,535.000064
705.000960,535.999936
678.000000,537.500288
663.000960,538.500160
710.499840,537.500288
764.000640,538.500160
807.500160,535.500544
842.499840,527.500480
867.500160,517.000192
898.500480,507.499776
910.999680,508.000256
915.999360,507.000384
927.999360,503.999680
944.499840,489.000512
930.499200,492.499520
892.999680,511.999744
855.999360,513.500096
827.500800,515.000448
805.499520,523.000512
788.000640,536.999808
795.500160,539.500032
810.499200,537.500288
846.499200,528.999744
872.499840,532.000448
915.999360,529.999616
934.500480,523.499904
941.500800,500.499584
943.000320,494.500352
941.500800,507.000384
920.499840,515.000448
883.499520,518.000064
840.499200,527.000000
810.499200,527.000000
758.499840,530.999488
723.999360,540.000512
691.499520,540.000512
657.999360,538.500160
624.499200,539.500032
600.499200,537.500288
550.999680,536.999808
502.999680,535.999936
467.500800,535.500544
441.500160,535.500544
409.499520,534.499584
385.499520,532.499840
364.500480,533.499712
336.000000,532.499840
315.999360,530.500096
281.500800,531.499968
256.500480,529.500224
230.499840,527.500480
199.499520,530.500096
176.000640,523.000512
165.999360,518.999936
166.999680,525.000256
207.999360,527.999872
237.999360,530.500096
267.999360,533.499712
295.000320,534.499584
331.000320,533.000320
354.499200,533.499712
394.999680,535.500544
430.999680,532.499840
470.499840,531.499968
528.000000,533.000320
558.000000,532.000448
590.499840,530.500096
626.499840,527.000000
650.000640,528.999744
679.499520,535.999936
719.500800,535.500544
762.000000,530.999488
787.000320,528.999744
831.500160,525.499648
864.000000,515.000448
884.499840,510.000000
904.999680,502.999808
916.999680,498.499840
922.999680,494.999744
938.499840,489.000512
934.999680,477.500352
940.999680,478.500224
930.499200,481.000448
908.499840,480.499968
868.500480,468.999808
849.500160,464.000448
831.500160,462.999488
790.500480,465.499712
748.500480,455.000512
723.500160,445.500096
712.999680,451.500416
697.000320,458.499520
674.000640,470.500160
652.999680,477.500352
627.999360,471.500032
608.000640,463.499968
588.499200,457.499648
555.999360,466.499584
516.499200,479.500096
493.499520,493.999872
480.499200,504.500160
468.000000,516.000320
451.000320,521.500160
416.000640,525.499648
387.000960,527.500480
367.000320,532.499840
330.000000,530.999488
307.499520,532.000448
286.500480,533.499712
259.000320,527.999872
239.500800,524.000384
225.500160,527.000000
194.000640,529.999616
174.499200,527.999872
193.000320,528.500352
230.000640,532.499840
245.500800,532.499840
256.500480,525.000256
290.999040,535.000064
336.000000,535.999936
377.500800,533.499712
418.500480,535.500544
462.499200,534.499584
488.000640,528.999744
530.999040,536.500416
569.500800,535.000064
606.499200,534.499584
686.000640,536.500416
728.499840,537.999680
748.500480,535.999936
772.500480,539.500032
798.499200,540.000512
822.499200,538.999552
849.999360,535.000064
861.999360,533.000320
892.500480,535.500544
914.000640,535.000064
900.499200,533.499712
856.999680,532.499840
817.000320,527.999872
775.000320,524.000384
740.499840,510.999872
710.000640,486.999680
676.999680,455.499904
654.000000,450.000064
644.000640,458.000128
639.999360,461.999616
582.000000,485.500416
563.500800,495.999616
591.500160,494.999744
614.999040,478.500224
628.999680,465.499712
639.000960,460.500352
675.999360,483.499584
697.499520,497.499968
