x,y
1587.349788 ,814.648416  
1590.972097 ,814.879119  
1590.767042 ,814.138148  
1592.679119 ,813.864570  
1595.126661 ,813.975318  
1595.683139 ,813.717076  
1046.356001 ,468.500043  
1597.681320 ,814.096727  
1599.347588 ,814.353177  
1600.526912 ,814.547605  
1601.427991 ,814.004218  
1605.283450 ,813.060128  
1605.129469 ,813.080748  
1606.408240 ,812.367458  
1610.220941 ,811.895702  
1613.414719 ,811.299686  
492.698333  ,817.701590  
1619.619650 ,809.782303  
1032.927781 ,473.832569  
1623.919088 ,808.672422  
1627.662188 ,807.260479  
1632.651079 ,805.878924  
1633.473676 ,805.595112  
1635.622264 ,805.441771  
1638.049094 ,804.552092  
1638.681018 ,805.481059  
1642.636453 ,805.677962  
1641.768196 ,806.515506  
1643.659990 ,804.900636  
1645.241797 ,805.265712  
1645.749073 ,805.911242  
1649.537521 ,803.179173  
1648.098665 ,803.533650  
1650.025811 ,802.737769  
1655.759376 ,801.404501  
1655.974734 ,800.321189  
1659.919561 ,797.128510  
1659.456916 ,796.906243  
1661.797087 ,794.973462  
1662.937897 ,793.586386  
1664.276322 ,792.789498  
1665.403017 ,791.058548  
1666.206223 ,790.437916  
1666.984654 ,790.613870  
1667.212334 ,789.423904  
1668.661330 ,789.157519  
1669.843413 ,789.019907  
1669.733291 ,788.842160  
1670.264899 ,789.194764  
1670.095081 ,788.816146  
1670.721396 ,788.861541  
1675.582382 ,787.100481  
1674.945369 ,787.874648  
1673.880713 ,786.031606  
1674.208152 ,785.668562  
1675.658744 ,785.209305  
1681.626274 ,783.740692  
1680.571017 ,783.928706  
1683.031525 ,783.286111  
1685.128221 ,783.328805  
1686.185323 ,784.791158  
1689.634806 ,784.404003  
1690.352478 ,783.537644  
1692.373969 ,784.466043  
996.910971  ,508.848209  
1693.464427 ,785.745929  
1697.688988 ,784.699827  
1697.955948 ,785.324745  
1698.089609 ,786.107326  
1704.601480 ,784.467974  
1707.249520 ,785.107515  
1712.993148 ,786.450462  
1712.574522 ,786.076127  
1713.643367 ,786.632800  
1716.432585 ,786.994894  
1717.372129 ,787.093109  
1720.255097 ,788.966667  
1720.152663 ,788.960078  
1721.833823 ,789.947238  
1721.960702 ,789.615688  
1722.130067 ,789.988350  
1724.732914 ,791.064752  
1724.632860 ,791.006534  
1722.915496 ,791.867829  
1724.255767 ,792.708012  
1725.725317 ,793.525414  
1725.394319 ,793.137067  
1724.713016 ,792.939647  
1724.517376 ,793.095219  
1723.873896 ,792.532415  
1723.200155 ,793.482040  
1721.954981 ,794.308158  
1003.286014 ,532.207457  
1722.388774 ,794.169946  
1723.134438 ,793.914918  
1722.517678 ,794.210686  
1718.791464 ,794.460285  
1719.416006 ,794.444490  
1720.365258 ,794.102534  
1719.582182 ,794.266678  
1717.619725 ,794.746090  
1715.004673 ,793.540788  
1714.517866 ,793.553640  
1713.485166 ,793.457946  
1713.173626 ,793.624878  
1713.152035 ,793.789390  
1712.443485 ,793.971731  
1711.983033 ,794.011443  
1712.914535 ,794.606491  
1711.394685 ,794.628400  
1710.157300 ,794.464387  
1708.789801 ,794.629053  
1708.382505 ,794.865058  
1707.632028 ,794.741558  
1708.562052 ,795.575563  
1706.398603 ,794.645412  
1703.520540 ,794.603439  
1702.507503 ,795.478448  
1702.928897 ,794.896889  
1701.457174 ,795.385322  
1701.097397 ,796.403016  
1699.431766 ,796.501129  
1699.361805 ,796.180189  
1699.280645 ,797.676900  
1699.078192 ,797.449184  
1698.401675 ,798.044704  
1696.210723 ,798.866639  
1695.356204 ,798.844288  
1693.316311 ,798.763212  
1693.165468 ,797.913669  
1693.168306 ,798.705965  
1689.264920 ,797.659965  
1690.708734 ,798.108802  
1687.934708 ,798.153889  
1117.997722 ,539.411798  
1683.942626 ,797.593029  
1680.907630 ,797.181992  
1681.424476 ,797.318237  
1678.948574 ,797.884397  
1678.339350 ,798.303249  
1677.217381 ,797.599328  
1136.881927 ,531.929293  
1673.755148 ,797.895616  
1671.676971 ,798.324801  
1669.673077 ,798.038952  
1667.438626 ,797.681605  
1660.683959 ,797.737805  
1660.847654 ,797.924866  
1658.688325 ,798.008463  
1654.462115 ,796.541755  
1651.751588 ,796.438046  
1645.466833 ,796.237386  
1645.458367 ,796.537115  
1644.498518 ,796.942184  
1641.283186 ,797.488771  
1638.978384 ,796.177390  
1636.751642 ,796.594064  
1636.849645 ,796.423079  
1634.598698 ,797.266811  
1632.934136 ,797.492817  
1632.082525 ,798.389792  
1627.992064 ,797.167723  
810.845829  ,818.347086  
1625.272935 ,796.972447  
1620.889715 ,795.829056  
1615.418378 ,794.549123  
1609.283996 ,792.992914  
1609.203267 ,793.295520  
1605.961890 ,792.713926  
1603.092357 ,792.394804  
1599.400094 ,791.229068  
1595.460934 ,791.187517  
1595.677781 ,790.303275  
1594.510879 ,791.499625  
1076.288242 ,533.242016  
1073.418572 ,533.505936  
1588.976599 ,791.088331  
1589.170682 ,791.507711  
1584.334129 ,790.227008  
1580.415227 ,789.700781  
1580.002068 ,788.663598  
1572.021986 ,785.703125  
